time,BLUE,RED
58,6.12654863060345,1.97629827673425
59,6.60819480762459,2.14694265758931
60,7.11974743144986,2.33128124512817
61,7.6618139424587,2.53022834497908
62,8.23481487203789,2.74472679078315
63,8.83895568880751,2.9757427036955
64,9.47419937092578,3.22425894326613
65,10.1402406664935,3.49126711918898
66,10.8364831060277,3.77775804541807
67,11.5620198949998,4.08471053819183
68,12.3156198279285,4.41307848902209
69,13.0957193172896,4.76377618401439
70,13.9004215122902,5.13766189304838
71,14.7275032905559,5.53551981696869
72,15.5744306420311,5.95804055796338
73,16.4383826376534,6.40580036679723
74,17.3162838013818,6.87923951846018
75,18.2048443050568,7.37864027172115
76,19.100607008328,7.90410497324089
77,20,8.45553496704591
78,20.899392991672,9.0326110577404
79,21.7951556949432,9.63477634230362
80,22.6837161986182,10.2612222617251
81,23.5616173623466,10.9108787214431
82,24.4255693579689,11.5824090812056
83,25.2724967094441,12.2742107155103
84,26.0995784877098,12.9844216934347
85,26.9042806827104,13.710933923872
86,27.6843801720715,14.4514128660241
87,28.4379801050002,15.2033236273456
88,29.1635168939723,15.963962978065
89,29.8597593335065,16.7304965221634
90,30.5258006290742,17.5
91,31.1610443111925,18.2695034778366
92,31.7651851279621,19.036037021935
93,32.3381860575413,19.7966763726544
94,32.8802525685501,20.5485871339759
95,33.3918051923754,21.289066076128
96,33.8734513693966,22.0155783065653
97,34.3259574039805,22.7257892844897
98,34.7502212224591,23.4175909187944
99,35.1472464843305,24.0891212785569
100,35.5181184577204,24.7387777382749
101,35.86398194167,25.3652236576964
102,36.1860214040356,25.9673889422596
103,36.485443406828,26.5444650329541
104,36.7634613113814,27.0958950267591
105,37.0212821933589,27.6213597282789
106,37.260095851027,28.1207604815398
107,37.4810657577201,28.5941996332028
108,37.6853217889456,29.0419594420366
109,37.8739545440774,29.4644801830313
110,38.048011080048,29.8623381069516
111,38.2084918780085,30.2362238159856
112,38.3563488719814,30.5869215109779
113,38.4924843796558,30.9152894618082
114,38.6177507885489,31.2222419545819
115,38.7329508648377,31.508732880811
116,38.8388385665464,31.7757410567339
117,38.9361202569254,32.0242572963045
118,39.0254562273889,32.2552732092169
119,39.1074624520387,32.4697716550209
120,39.1827125074379,32.6687187548718
121,39.2517396018258,32.8530573424107
122,39.3150386673709,33.0237017232657
123,39.3730684773581,33.1815336072384
124,39.4262537574605,33.3273990770309
125,39.4749872665159,33.4621064611351
126,39.5196318276029,33.5864249851462
127,39.5605222947763,33.7010840843698
128,39.5979674446611,33.8067732703864
129,39.6322517853085,33.9041424546333
130,39.6636372773615,33.9938026425711
131,39.6923649647397,34.0763269222903
132,39.7186565138002,34.1522516812156
133,39.7427156613233,34.2220779937309
134,39.7647295727631,34.2862731309645
135,39.7848701130461,34.3452721515976
136,39.8032950328256,34.3994795393807
137,39.8201490735624,34.4492708590731
138,39.8355649951068,34.4949944078067
139,39.84966452966,34.5369728434574
140,39.8625592660898,34.5755047755504
141,39.8743514686068,34.6108663075852
142,39.885134833772,34.6433125225068
143,39.8949951897336,34.6730789054279
144,39.9040111414764,34.7003826996856
145,39.9122546657316,34.7254241939341
146,39.9197916590408,34.7483879393015
147,39.9266824423003,34.7694438966951
148,39.932982224941,34.7887485151783
149,39.9387415317199,34.8064457429976
150,39.9440065949249,34.8226679733287
151,39.9488197146215,34.8375369271781
152,39.9532195893978,34.8511644761318
153,39.9572416199023,34.8636534078102
154,39.9609181873109,34.8750981369837
155,39.9642789087081,34.8855853653426
156,39.9673508712256,34.8951946929046
157,39.9701588466465,34.9039991840006
158,39.9727254880544,34.9120658907085
159,39.9750715099885,34.919456336508
160,39.9772158534547,34.9262269628285
161,39.9791758370356,34.932429541037
162,39.9809672952465,34.9381115522948
163,39.9826047051952,34.9433165375795
164,39.9841013025156,34.9480844200413
165,39.9854691874713,34.952451801735
166,39.9867194220489,34.9564522366411
167,39.9878621187988,34.9601164817697
168,39.9889065221152,34.9634727280186
169,39.9898610825913,34.9665468123487
170,39.9907335250369,34.969362412725
171,39.9915309106896,34.9719412271757
172,39.992259694116,34.9743031382187
173,39.992925775248,34.9764663638171
174,39.993534546972,34.9784475959359
175,39.9940909386448,34.9802621276958
176,39.9945994558858,34.9819239700388
177,39.9950642169606,34.9834459587554
178,39.9954889860476,34.9848398526539
179,39.9958772036541,34.9861164235921
180,39.9962320144227,34.9872855390374
181,39.9965562925549,34.9883562377644
182,39.9968526650515,34.989336799255
183,39.9971235329602,34.990234807318
184,39.9973710907976,34.9910572084041
185,39.9975973443057,34.9918103650557
186,39.9978041266812,34.9925001048924
187,39.9979931134126,34.9931317655025
188,39.9981658358421,34.9937102355809
189,39.9983236935615,34.9942399926238
190,39.9984679657438,34.9947251374679
191,39.9985998215007,34.9951694259355
192,39.9987203293491,34.9955762978279
193,39.998830465865,34.9959489034881
194,39.9989311235919,34.9962901281342
195,39.9990231182707,34.9966026141522
196,39.9991071954466,34.9968887815172
197,39.9991840365088,34.9971508464996
198,39.99925426421,34.9973908388004
199,39.999318447712,34.9976106172474
200,39.9993771071961,34.9978118841722
